2023-5-5  6:30:25; VRU; 5529-2262; 165448552; %E000%; 327587
2023-5-5  6:30:31; VRU; 5572-2316; 165449129; %E000%; 327589
2023-5-5  6:30:32; VRU; 609-1063; 165449434; %E000%; 327590
2023-5-5  6:30:33; VRU; 5554-2287; 165448857; %E000%; 327588
2023-5-5  6:30:34; VRU; 5479-2194; 165447460; %E000%; 327583
2023-5-5  6:30:35; VRU; 5485-2200; 165447637; %E000%; 327584
2023-5-5  6:30:39; VRU; 5517-2248; 165448247; %E000%; 327586
2023-5-5  6:30:42; VRU; 5495-2211; 165447942; %E000%; 327585
2023-5-5  22:51:30; VRU; 5317-1910; 165532050; %E000%; 327765
2023-5-6  6:30:20; VRU; 5487-2201; 165536732; %E000%; 327782
2023-5-7  6:31:13; VRU; 5611-2395; 165566546; %E000%; 327896
2023-5-7  6:31:20; VRU; 5469-2180; 165565702; %E000%; 327893
2023-5-7  6:31:27; VRU; 5603-2384; 165565936; %E000%; 327894
2023-5-7  6:31:31; VRU; 5606-2387; 165566241; %E000%; 327895
2023-5-7  17:51:55; VRU; 5515-2246; 165568990; %E000%; 327906
2023-5-7  18:5:58; VRU; 5480-2195; 165569262; %E000%; 327907
2023-5-7  18:6:6; VRU; 5591-2445; 165569439; %E000%; 327908
2023-5-7  18:36:0; VRU; 616-1070; 165569527; %E000%; 327909
2023-5-7  19:36:5; VRU; 617-1071; 165569787; %E000%; 327910
2023-5-7  19:51:7; VRU; 5464-2174; 165570047; %E000%; 327911
2023-5-7  20:21:10; VRU; 5459-2169; 165570319; %E000%; 327912
2023-5-7  20:36:11; VRU; 5514-2244; 165570591; %E000%; 327913
2023-5-7  20:36:11; VRU; 5514-2245; 165570863; %E000%; 327914
2023-5-9  22:36:14; VRU; 602-1052; 165634590; %E000%; 328167
2023-5-10  14:35:23; VRU; 607-1058; 165726439; %E000%; 328426
2023-5-10  16:20:55; VRU; 5433-2141; 165733120; %E000%; 328430
2023-5-11  6:31:8; VRU; 5542-2275; 165793390; %E000%; 328643
2023-5-11  6:31:9; VRU; 5532-2265; 165793130; %E000%; 328642
2023-5-12  6:30:2; VRU; 619-1073; 165922753; %E000%; 328906
2023-5-12  22:47:21; VRU; 593-1041; 165991627; %E000%; 328980
2023-5-12  22:47:22; VRU; 624-1080; 165992144; %E000%; 328982
2023-5-12  22:47:22; VRU; 5584-2344; 165991393; %E000%; 328979
2023-5-12  22:47:23; VRU; 600-1050; 165991885; %E000%; 328981
2023-5-13  15:20:47; VRU; 5468-2179; 166029161; %E000%; 329131
2023-5-13  16:20:53; VRU; 5561-2296; 166030014; %E000%; 329135
2023-5-13  16:51:1; VRU; 5558-2292; 166031165; %E000%; 329139
2023-5-13  16:51:1; VRU; 5558-2295; 166031470; %E000%; 329140
2023-5-14  12:20:31; VRU; 5591-2449; 166069827; %E000%; 329279
2023-5-15  6:31:1; VRU; 5604-2385; 166136582; %E000%; 329547
2023-5-15  6:31:2; VRU; 5544-2277; 166135972; %E000%; 329545
2023-5-15  6:31:3; VRU; 5545-2278; 166136277; %E000%; 329546
2023-5-15  6:31:3; VRU; 5421-2127; 166135667; %E000%; 329544
2023-5-15  15:21:10; VRU; 623-1079; 166176537; %E000%; 329594
2023-5-15  15:35:16; VRU; 627-1084; 166178619; %E000%; 329597
2023-5-15  16:5:33; VRU; 5320-1913; 166183908; %E000%; 329599
2023-5-15  16:20:40; VRU; 610-1064; 166188665; %E000%; 329603
2023-5-15  16:20:41; VRU; 5564-2300; 166187398; %E000%; 329600
2023-5-15  16:35:49; VRU; 5610-2391; 166187785; %E000%; 329601
2023-5-15  16:35:50; VRU; 5610-2392; 166188327; %E000%; 329602
2023-5-15  16:50:35; VRU; 5555-2289; 166189726; %E000%; 329604
2023-5-16  6:31:2; VRU; 5648-2453; 166242283; %E000%; 329799
2023-5-16  16:36:4; VRU; 5591-2464; 166287436; %E000%; 329886
2023-5-16  18:50:48; VRU; 5528-2465; 166292841; %E000%; 329894
2023-5-17  6:30:12; VRU; 5537-2270; 166325774; %E000%; 330025
2023-5-17  6:30:14; VRU; 5566-2302; 166326294; %E000%; 330027
2023-5-17  6:30:14; VRU; 5566-2303; 166326554; %E000%; 330028
2023-5-17  6:30:15; VRU; 614-1068; 166327036; %E000%; 330030
2023-5-17  6:30:15; VRU; 5648-2460; 166326731; %E000%; 330029
