2024-12-13  16:56:48; FSP; 5682342-354488; 206165602; %E000%; 314
2024-12-13  16:56:49; FSP; 5682341-354488; 206165492; %E000%; 313
2024-12-13  16:56:50; FSP; 5682343-354488; 206165700; %E000%; 315
2024-12-13  16:57:50; FSP; 5682312-354488; 206165153; %E000%; 310
2024-12-13  16:57:51; FSP; 5682344-354488; 206165798; %E000%; 316
2024-12-13  16:57:51; FSP; 5688101-354765; 206165896; %E000%; 317
2024-12-13  16:57:52; FSP; 5688104-354765; 206166077; %E000%; 318
2024-12-13  16:57:53; FSP; 5682311-354488; 206166219; %E000%; 319
2024-12-13  16:57:54; FSP; 5682313-354488; 206165264; %E000%; 311
2024-12-13  16:57:55; FSP; 5682314-354488; 206165362; %E000%; 312
2024-12-13  17:27:7; FSP; 568965-354843; 206166930; %E000%; 320
2024-12-13  17:32:9; FSP; 568901-354807; 206167306; %E000%; 324
2024-12-13  17:32:10; FSP; 568898-354807; 206167024; %E000%; 321
2024-12-13  17:32:10; FSP; 568899-354807; 206167118; %E000%; 322
2024-12-13  17:32:11; FSP; 568900-354807; 206167212; %E000%; 323
2024-12-13  17:32:11; FSP; 568902-354807; 206167400; %E000%; 325
2024-12-13  17:32:12; FSP; 568903-354807; 206167494; %E000%; 326
2024-12-13  17:46:19; FSP; 5688181-354771; 206167883; %E000%; 327
2024-12-13  18:6:27; FSP; 5689371-354828; 206168296; %E000%; 328
2024-12-13  18:6:28; FSP; 5689374-354828; 206168390; %E000%; 329
2024-12-16  11:42:18; FSP; 5685372-354643; 206214275; %E000%; 331
2024-12-16  11:42:19; FSP; 5676761-354144; 206214889; %E000%; 334
2024-12-16  11:42:20; FSP; 5685371-354643; 206214114; %E000%; 330
2024-12-16  11:42:21; FSP; 5685373-354643; 206214369; %E000%; 332
2024-12-16  11:42:22; FSP; 5685374-354643; 206214463; %E000%; 333
2024-12-16  13:1:56; FSP; 569063-354892; 206221846; %E000%; 336
2024-12-16  13:1:57; FSP; 569062-354892; 206221752; %E000%; 335
2024-12-16  13:1:58; FSP; 569069-354896; 206222034; %E000%; 338
2024-12-16  13:1:59; FSP; 569070-354896; 206222128; %E000%; 339
2024-12-16  13:2:56; FSP; 569064-354892; 206221940; %E000%; 337
2024-12-16  13:2:57; FSP; 569071-354896; 206222222; %E000%; 340
2024-12-16  13:2:57; FSP; 569125-354939; 206222349; %E000%; 341
2024-12-16  13:6:56; FSP; 568227-354485; 206222582; %E000%; 342
2024-12-16  14:7:29; FSP; 5673174-353923; 206225832; %E000%; 346
2024-12-16  14:7:30; FSP; 5684301-354580; 206226401; %E000%; 351
2024-12-16  14:7:31; FSP; 5684304-354580; 206226515; %E000%; 352
2024-12-16  14:7:32; FSP; 5673171-353923; 206225550; %E000%; 343
2024-12-16  14:7:33; FSP; 5673172-353923; 206225644; %E000%; 344
2024-12-16  14:7:33; FSP; 5673173-353923; 206225738; %E000%; 345
2024-12-16  14:7:34; FSP; 5673211-353926; 206225926; %E000%; 347
2024-12-16  14:7:35; FSP; 5673212-353926; 206226020; %E000%; 348
2024-12-16  14:8:30; FSP; 5691131-354930; 206226649; %E000%; 353
2024-12-16  14:8:31; FSP; 5673213-353926; 206226114; %E000%; 349
2024-12-16  14:8:31; FSP; 5673214-353926; 206226208; %E000%; 350
2024-12-16  14:8:32; FSP; 5691134-354930; 206226767; %E000%; 354
2024-12-16  16:2:30; FSP; 5686472-354690; 206240894; %E000%; 360
2024-12-16  16:2:31; FSP; 5683721-354543; 206240339; %E000%; 355
2024-12-16  16:2:31; FSP; 5683722-354543; 206240480; %E000%; 356
