2019-12-18  2:8:32; PPP; 7922-7922; %E000%; 0068046
2019-12-18  2:8:34; PPP; 7924-7924; %E000%; 0068047
2019-12-18  2:8:36; PPP; 7925-7925; %E000%; 0068048
2019-12-18  2:8:38; PPP; 7926-7926; %E000%; 0068049
2019-12-18  2:8:40; PPP; 7927-7927; %E000%; 0068050
2019-12-18  2:8:42; PPP; 7928-7928; %E000%; 0068051
2019-12-18  2:8:44; PPP; 7931-7931; %E000%; 0068052
2019-12-18  2:8:46; PPP; 7943-7943; %E000%; 0068061
2019-12-18  2:8:48; PPP; 7932-7932; %E000%; 0068053
2019-12-18  2:8:50; PPP; 7933-7933; %E000%; 0068054
2019-12-18  2:8:52; PPP; 7936-7936; %E000%; 0068055
2019-12-18  2:8:55; PPP; 7937-7937; %E000%; 0068056
2019-12-18  2:8:57; PPP; 7967-7967; %E000%; 0068079
2019-12-18  2:8:59; PPP; 7938-7938; %E000%; 0068057
2019-12-18  2:9:1; PPP; 7939-7939; %E000%; 0068058
2019-12-18  2:9:3; PPP; 7940-7940; %E000%; 0068059
2019-12-18  2:9:5; PPP; 7941-7941; %E000%; 0068060
2019-12-18  2:9:7; PPP; 7944-7944; %E000%; 0068062
2019-12-18  2:9:9; PPP; 7945-7945; %E000%; 0068063
2019-12-18  2:9:11; PPP; 7947-7947; %E000%; 0068064
2019-12-18  2:9:13; PPP; 7948-7948; %E000%; 0068065
2019-12-18  2:9:15; PPP; 7951-7951; %E000%; 0068066
2019-12-18  2:9:17; PPP; 7952-7952; %E000%; 0068067
2019-12-18  2:9:20; PPP; 7953-7953; %E000%; 0068068
2019-12-18  2:9:22; PPP; 7954-7954; %E000%; 0068069
2019-12-18  2:9:24; PPP; 7957-7957; %E000%; 0068070
2019-12-18  2:9:26; PPP; 7959-7959; %E000%; 0068071
2019-12-18  2:9:28; PPP; 7960-7960; %E000%; 0068072
2019-12-18  2:9:30; PPP; 7961-7961; %E000%; 0068073
2019-12-18  2:9:32; PPP; 7962-7962; %E000%; 0068074
2019-12-18  2:9:34; PPP; 7963-7963; %E000%; 0068075
2019-12-18  2:9:36; PPP; 7964-7964; %E000%; 0068076
2019-12-18  2:9:38; PPP; 7965-7965; %E000%; 0068077
2019-12-18  2:9:40; PPP; 7966-7966; %E000%; 0068078
2019-12-19  2:8:25; PPP; 7968-7968; %E000%; 0068442
2019-12-19  2:8:25; PPP; 7969-7969; %E000%; 0068443
2019-12-19  2:8:26; PPP; 7970-7970; %E000%; 0068444
2019-12-19  2:8:29; PPP; 7971-7971; %E000%; 0068445
2019-12-19  2:8:32; PPP; 7973-7973; %E000%; 0068447
2019-12-19  2:8:33; PPP; 7972-7972; %E000%; 0068446
2019-12-19  2:8:35; PPP; 7974-7974; %E000%; 0068448
2019-12-19  2:8:37; PPP; 7975-7975; %E000%; 0068449
2019-12-19  2:8:39; PPP; 7976-7976; %E000%; 0068450
2019-12-19  2:8:41; PPP; 7977-7977; %E000%; 0068451
2019-12-19  2:8:43; PPP; 7978-7978; %E000%; 0068452
2019-12-19  2:8:45; PPP; 7979-7979; %E000%; 0068453
2019-12-19  2:8:47; PPP; 8003-8003; %E000%; 0068476
2019-12-19  2:8:49; PPP; 7980-7980; %E000%; 0068454
2019-12-19  2:8:51; PPP; 7981-7981; %E000%; 0068455
2019-12-19  2:8:54; PPP; 7982-7982; %E000%; 0068456
2019-12-19  2:8:56; PPP; 7983-7983; %E000%; 0068457
2019-12-19  2:8:58; PPP; 7984-7984; %E000%; 0068458
2019-12-19  2:9:0; PPP; 7985-7985; %E000%; 0068459
2019-12-19  2:9:2; PPP; 7986-7986; %E000%; 0068460
2019-12-19  2:9:4; PPP; 7987-7987; %E000%; 0068461
2019-12-19  2:9:6; PPP; 7988-7988; %E000%; 0068462
2019-12-19  2:9:9; PPP; 7989-7989; %E000%; 0068463
2019-12-19  2:9:10; PPP; 7990-7990; %E000%; 0068464
2019-12-19  2:9:12; PPP; 7991-7991; %E000%; 0068465
2019-12-19  2:9:14; PPP; 7993-7993; %E000%; 0068466
2019-12-19  2:9:16; PPP; 7994-7994; %E000%; 0068467
2019-12-19  2:9:19; PPP; 7995-7995; %E000%; 0068468
2019-12-19  2:9:21; PPP; 7996-7996; %E000%; 0068469
2019-12-19  2:9:23; PPP; 7997-7997; %E000%; 0068470
2019-12-19  2:9:25; PPP; 7998-7998; %E000%; 0068471
2019-12-19  2:9:27; PPP; 7999-7999; %E000%; 0068472
2019-12-19  2:9:29; PPP; 8000-8000; %E000%; 0068473
2019-12-19  2:9:31; PPP; 8001-8001; %E000%; 0068474
2019-12-19  2:9:33; PPP; 8002-8002; %E000%; 0068475
2019-12-19  2:9:35; PPP; 8004-8004; %E000%; 0068477
2019-12-19  2:9:37; PPP; 8007-8007; %E000%; 0068478
2019-12-19  2:9:39; PPP; 8008-8008; %E000%; 0068479
2019-12-20  2:8:15; PPP; 8005-8005; %E000%; 0068791
2019-12-20  2:8:16; PPP; 8009-8009; %E000%; 0068792
2019-12-20  2:8:17; PPP; 8010-8010; %E000%; 0068793
2019-12-20  2:8:19; PPP; 8011-8011; %E000%; 0068794
2019-12-20  2:8:21; PPP; 8012-8012; %E000%; 0068795
2019-12-20  2:8:23; PPP; 8013-8013; %E000%; 0068796
2019-12-20  2:8:25; PPP; 8014-8014; %E000%; 0068797
2019-12-20  2:8:27; PPP; 8016-8016; %E000%; 0068799
2019-12-20  2:8:29; PPP; 8015-8015; %E000%; 0068798
2019-12-20  2:8:31; PPP; 8017-8017; %E000%; 0068800
2019-12-20  2:8:34; PPP; 8018-8018; %E000%; 0068801
2019-12-20  2:8:36; PPP; 8019-8019; %E000%; 0068802
2019-12-20  2:8:38; PPP; 8020-8020; %E000%; 0068803
2019-12-20  2:8:40; PPP; 8022-8022; %E000%; 0068804
2019-12-20  2:8:42; PPP; 8024-8024; %E000%; 0068806
2019-12-20  2:8:45; PPP; 8039-8039; %E000%; 0068818
2019-12-20  2:8:47; PPP; 8025-8025; %E000%; 0068807
2019-12-20  2:8:49; PPP; 8026-8026; %E000%; 0068808
2019-12-20  2:8:51; PPP; 8028-8028; %E000%; 0068809
2019-12-20  2:8:53; PPP; 8031-8031; %E000%; 0068810
2019-12-20  2:8:55; PPP; 8032-8032; %E000%; 0068811
2019-12-20  2:8:58; PPP; 8033-8033; %E000%; 0068812
2019-12-20  2:8:59; PPP; 8034-8034; %E000%; 0068813
2019-12-20  2:9:0; PPP; 8035-8035; %E000%; 0068814
2019-12-20  2:9:3; PPP; 8036-8036; %E000%; 0068815
2019-12-20  2:9:5; PPP; 8037-8037; %E000%; 0068816
2019-12-20  2:9:7; PPP; 8038-8038; %E000%; 0068817
2019-12-20  2:9:9; PPP; 8040-8040; %E000%; 0068819
2019-12-20  2:9:11; PPP; 8041-8041; %E000%; 0068820
2019-12-20  2:9:13; PPP; 8042-8042; %E000%; 0068821
2019-12-20  2:9:15; PPP; 8043-8043; %E000%; 0068822
2019-12-20  2:9:17; PPP; 8044-8044; %E000%; 0068823
